Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
-73.968052057989,15F-PM-1010-06,PM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9787180870736,5A-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True,
-73.9565905868276,32H-PM-1006-01,PM,2018-10-06,,Gray,Above Ground,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False,
-73.9565759733611,42C-AM-1007-02,AM,2018-10-07,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False,
-73.9551539498306,41D-AM-1014-01,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False,
-73.9641971813967,21G-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,True,False,
-73.9692883970928,14E-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True,
-73.9708549670788,7H-PM-1006-04,PM,2018-10-06,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False,
-73.9639744005647,22F-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,True,False,
-73.9730277911422,7F-AM-1008-16,AM,2018-10-08,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True,
-73.9710541405708,10F-PM-1019-05,PM,2018-10-19,Adult,Black,Above Ground,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False,
-73.9761592532482,10A-AM-1006-04,AM,2018-10-06,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False,
-73.9544007658685,38F-PM-1013-05,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False,
-73.9575986161364,41B-PM-1014-01,PM,2018-10-14,Adult,Gray,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True,
-73.9607701370443,36A-PM-1013-07,PM,2018-10-13,,Gray,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True,
-73.9764036522984,5C-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9589249555235,32E-PM-1017-03,PM,2018-10-17,Adult,Gray,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False,
-73.9634623418761,31A-PM-1017-04,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False,
-73.9521110154872,42G-AM-1018-03,AM,2018-10-18,Adult,Gray,Ground Plane,,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True,
-73.9574809028248,37D-PM-1014-04,PM,2018-10-14,Adult,Gray,Ground Plane,,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True,
-73.967097592707,24B-AM-1013-01,AM,2018-10-13,,Gray,Above Ground,,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True,
-73.9711318790279,7G-AM-1010-02,AM,2018-10-10,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,False,True,False,False,True,
-73.9763243383771,5C-PM-1010-13,PM,2018-10-10,Adult,Gray,Above Ground,way up a tree!,False,False,True,False,False,,False,False,False,False,False,False,False,False,
-73.9651754464439,15I-AM-1008-01,AM,2018-10-08,Adult,Gray,Above Ground,tree,False,False,True,True,False,,False,False,False,False,False,False,True,False,
-73.9700100617602,19B-PM-1018-01,PM,2018-10-18,Adult,Gray,Above Ground,,True,False,False,False,False,flying,False,False,False,False,False,False,False,False,
-73.971905618214,13D-PM-1018-10,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
-73.9530040923555,36I-PM-1007-10,PM,2018-10-07,Juvenile,Gray,Ground Plane,,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False,
-73.9572093760529,41B-AM-1010-06,AM,2018-10-10,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
-73.9607746337979,35B-AM-1010-01,AM,2018-10-10,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False,
-73.9566346046453,40D-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False,
-73.9592038887673,38B-PM-1018-02,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False,
-73.9511118711108,40I-AM-1018-01,AM,2018-10-18,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False,
-73.9769939796382,7B-AM-1008-10,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9712527809516,13D-AM-1014-08,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True,
-73.9671147090087,16G-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True,
-73.9588660250232,40A-AM-1010-03,AM,2018-10-10,Adult,Gray,Ground Plane,bottom of great hill,False,False,False,True,True,,False,False,False,True,False,False,True,True,
-73.9651601541795,15I-PM-1012-07,PM,2018-10-12,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False,
-73.9792155473689,3B-PM-1007-11,PM,2018-10-07,Adult,Gray,Above Ground,in tree,False,False,True,False,False,,False,False,False,False,False,False,False,False,
-73.9664100504436,21D-AM-1008-02,AM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
-73.9746229094643,10B-PM-1014-05,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,False,False,
-73.9705092958892,13E-PM-1008-07,PM,2018-10-08,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False,
-73.9581655949437,41A-PM-1007-06,PM,2018-10-07,Adult,Black,Ground Plane,,True,False,True,True,False,,False,False,False,False,False,False,False,True,
-73.9755560786227,2F-AM-1006-05,AM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
-73.9696433533986,20B-AM-1007-01,AM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,False,True,quietly,False,False,False,False,False,False,True,False,
-73.9664711607022,26A-PM-1006-06,PM,2018-10-06,Adult,Gray,Ground Plane,Tree 90th left 90th & 89,False,False,True,False,False,,False,False,False,True,False,False,False,False,
-73.9575943815564,35E-PM-1006-07,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,True,
-73.9694168118643,11G-PM-1013-01,PM,2018-10-13,Adult,Gray,Above Ground,In the Woods/Brush,False,False,True,False,True,,False,False,False,False,False,False,False,True,
-73.9528682507794,36I-PM-1007-13,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,True,True,False,False,
-73.9782417115139,7A-AM-1006-01,AM,2018-10-06,Adult,Gray,Above Ground,in tree,False,False,False,False,True,,False,True,False,False,True,False,False,False,
-73.9721442939797,7G-PM-1018-03,PM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
-73.969847380865,14E-AM-1008-05,AM,2018-10-08,Adult,Gray,Above Ground,,False,False,True,False,False,nest building,False,False,False,False,False,False,True,False,
-73.9768652785664,3D-PM-1010-03,PM,2018-10-10,Adult,Cinnamon,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False,
-73.9590992841423,35D-PM-1013-09,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9724063986771,7F-PM-1012-01,PM,2018-10-12,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
-73.9661361310677,18G-PM-1013-01,PM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,True,True,burying,False,False,False,False,False,False,False,True,
-73.9730750601212,6F-PM-1008-01,PM,2018-10-08,Adult,Gray,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,False,False,
-73.971970670614,9F-AM-1013-04,AM,2018-10-13,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False,
-73.95621174551,38E-AM-1010-09,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9564023626619,33G-AM-1013-02,AM,2018-10-13,Adult,Gray,Above Ground,shelter in hole in tree,False,False,True,False,False,,False,False,False,False,False,False,True,True,
-73.9532620128307,39G-AM-1018-01,AM,2018-10-18,Adult,Gray,Ground Plane,,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False,
-73.9576349321357,32G-PM-1013-03,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9763430829342,4D-PM-1008-11,PM,2018-10-08,Adult,Cinnamon,Above Ground,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True,
-73.9714789136757,6H-AM-1008-01,AM,2018-10-08,Adult,Cinnamon,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,False,False,
-73.9755133710665,5E-AM-1008-08,AM,2018-10-08,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False,
-73.9702348982803,15D-PM-1017-01,PM,2018-10-17,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False,
-73.9686056085297,16E-AM-1014-03,AM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,True,False,False,
-73.9522142360388,39H-PM-1013-02,PM,2018-10-13,Juvenile,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False,
-73.9576589997493,39C-PM-1006-02,PM,2018-10-06,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False,
-73.9637946878735,31A-AM-1010-04,AM,2018-10-10,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,False,False,
-73.9710991123992,9F-PM-1014-02,PM,2018-10-14,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False,
-73.9638270331336,21G-PM-1007-02,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,False,True,
-73.9756015005821,2F-AM-1006-01,AM,2018-10-06,Adult,Gray,Ground Plane,walking along path,False,False,False,False,True,,False,False,False,False,True,False,True,False,
-73.9649632550828,20F-PM-1007-01,PM,2018-10-07,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,True,False,True,False,
-73.957219204335,35E-PM-1006-01,PM,2018-10-06,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,True,False,False,
